category,bookDetails,verseReference,questionText,optionA,optionB,optionC,optionD,correctAnswer,correctAnswerText
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१","आदिमा परमेश्वरले के सृष्टि गर्नुभयो?","आकाशमण्डल र पृथ्वी","मानिस र वनस्पति","पक्षी र पशु","सूर्य र चन्द्रमा","A","आकाशमण्डल र पृथ्वी"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:२","पृथ्वी कस्तो थियो?","सुन्दर र हरियो","उज्ज्वल र व्यस्त","अन्धकारमय र शान्त","आकारविनाको र शून्य","D","आकारविनाको र शून्य"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:३","परमेश्वरले के भन्नुभयो?","पानी होस्","उज्यालो होस्","वायु होस्","अन्धकार होस्","B","उज्यालो होस्"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:४","परमेश्वरले उज्यालोलाई के हेर्नुभयो?","असल थियो","अन्धकारमय थियो","नासल थियो","सुन्दर थियो","A","असल थियो"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:५","परमेश्वरले उज्यालोलाई के भन्नुभयो?","दिन","रात","सूर्य","चन्द्रमा","A","दिन"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:६","परमेश्वरले के भन्नुभयो?","पानी र आकाशमा एक क्षेत्र होस्","पृथ्वी र आकाशमा एक क्षेत्र होस्","पानीका बीचमा एक क्षेत्र होस्","सूर्य र चन्द्रमामा एक क्षेत्र होस्","C","पानीका बीचमा एक क्षेत्र होस्"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:७","परमेश्वरले सो क्षेत्रमुनिको र माथिको पानीलाई के गर्नुभयो?","हटाउनुभयो","मिलाएर राख्नुभयो","फेर्नुभयो","अलग-अलग गर्नुभयो","D","अलग-अलग गर्नुभयो"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:८","परमेश्वरले यस अन्तरिक्षलाई के भन्नुभयो?","आकाश","चन्द्रमा","सूर्य","पृथ्वी","A","आकाश"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:९","परमेश्वरले के भन्नुभयो?","आकाशमुनि भएको पानी फेरिँदै जाओस्","आकाशमुनि भएको पानी सुकोस्","आकाशमुनि भएको पानी एक ठाउँमा जम्मा होस्","आकाशमुनि भएको पानी बढोस्","C","आकाशमुनि भएको पानी एक ठाउँमा जम्मा होस्"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१०","परमेश्वरले ओबानो भूमिलाई के भन्नुभयो?","आकाश","समुद्र","पृथ्वी","सूर्य","C","पृथ्वी"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:११","परमेश्वरले भूमिलाई के गर्न भन्नुभयो?","पशु र पक्षीहरू उमारोस्","मानिस र स्वर्गदूतहरू उमारोस्","वनस्पति र फलका रुखहरू उमारोस्","सूर्य र चन्द्रमा उमारोस्","C","वनस्पति र फलका रुखहरू उमारोस्"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१२","भूमिले के उमार्यो?","सूर्य र चन्द्रमा","पशु र पक्षीहरू","मानिस र स्वर्गदूतहरू","वनस्पति र फलका रुखहरू","D","वनस्पति र फलका रुखहरू"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१३","कुन दिन समाप्त भयो?","दोस्रो दिन","पहिलो दिन","तेस्रो दिन","चौथो दिन","C","तेस्रो दिन"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१४","परमेश्वरले अन्तरिक्षमा के बनाउनुभयो?","पशुहरू","पक्षीहरू","ज्योतिहरू","मानिसहरू","C","ज्योतिहरू"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१५","ज्योतिहरू के गर्नलाई बनाएका थिए?","पृथ्वीमा ताप ल्याउनलाई","पृथ्वीमा अन्धकार ल्याउनलाई","पृथ्वीमा वर्षा ल्याउनलाई","पृथ्वीमा प्रकाश दिनलाई","D","पृथ्वीमा प्रकाश दिनलाई"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१६","परमेश्वरले दुई विशाल ज्योतिहरू बनाउनुभयो","पक्षीमाथि प्रभुत्व गर्न र पशुमाथि प्रभुत्व गर्न","दिनमाथि प्रभुत्व गर्न र रातमाथि प्रभुत्व गर्न","पृथ्वीमाथि प्रभुत्व गर्न र आकाशमाथि प्रभुत्व गर्न","सूर्यमाथि प्रभुत्व गर्न र चन्द्रमामाथि प्रभुत्व गर्न","B","दिनमाथि प्रभुत्व गर्न र रातमाथि प्रभुत्व गर्न"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१७","परमेश्वरले ज्योतिहरूलाई पृथ्वीमा प्रकाश दिनलाई के गर्नुभयो?","आकाशमा राख्नुभयो","वायुमा राख्नुभयो","पृथ्वीमा राख्नुभयो","पानीमा राख्नुभयो","A","आकाशमा राख्नुभयो"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१८","परमेश्वरले ज्योतिहरूलाई के गर्नलाई राख्नुभयो?","सूर्य र चन्द्रमामाथि प्रभुत्व गर्न","दिन र रातमाथि प्रभुत्व गर्न","पक्षी र पशुमाथि प्रभुत्व गर्न","पृथ्वी र आकाशमाथि प्रभुत्व गर्न","B","दिन र रातमाथि प्रभुत्व गर्न"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:१९","कुन दिन समाप्त भयो?","सातौँ दिन","छैटौँ दिन","पाँचौँ दिन","चौथो दिन","D","चौथो दिन"
"Nepali Bible Quiz","उत्पत्ति 1","उत्पत्ति १:२०","परमेश्वरले पानीमा के सृष्टि गर्नुभयो?","मानिसहरू","पशुहरू","जीवित प्राणीहरू","पक्षीहरू","C","जीवित प्राणीहरू"
